time,temp,dwpt,rhum,snow,wdir,wspd,wpgt,pres,price,demand
2021-09-01 00:00:00+03:00,11.2,10.3,94.0,,320.0,7.2,16.7,1012.6,0.0901599999999999,0.577
2021-09-01 01:00:00+03:00,10.7,9.6,93.0,,320.0,7.2,13.0,1012.6,0.09251,0.594
2021-09-01 02:00:00+03:00,9.9,9.0,94.0,,320.0,7.2,13.0,1012.2,0.0889,0.685
2021-09-01 03:00:00+03:00,10.0,8.4,90.0,,330.0,7.2,13.0,1011.9,0.08735,1.016
2021-09-01 04:00:00+03:00,9.0,8.1,94.0,,300.0,3.6,13.0,1011.4,0.08688,0.677
2021-09-01 05:00:00+03:00,9.3,8.8,97.0,,300.0,7.2,13.0,1011.3,0.08843,0.673
2021-09-01 06:00:00+03:00,10.4,9.3,93.0,,310.0,7.2,14.8,1011.3,0.09358,0.565
2021-09-01 07:00:00+03:00,10.7,9.6,93.0,,310.0,7.2,16.7,1011.3,0.1187,0.385
2021-09-01 08:00:00+03:00,11.6,9.8,89.0,,320.0,7.2,18.5,1011.2,0.13544,1.435
2021-09-01 09:00:00+03:00,12.8,9.8,82.0,,320.0,10.8,20.4,1011.0,0.14072,1.494
2021-09-01 10:00:00+03:00,14.2,10.0,76.0,,320.0,10.8,22.2,1010.7,0.13,0.361
2021-09-01 11:00:00+03:00,15.3,10.3,72.0,,310.0,14.4,25.9,1010.9,0.11699,0.268
2021-09-01 12:00:00+03:00,16.4,10.3,67.0,,290.0,14.4,25.9,1010.6,0.10975,0.25
2021-09-01 13:00:00+03:00,16.4,9.6,64.0,,310.0,14.4,29.6,1010.4,0.10388,0.222
2021-09-01 14:00:00+03:00,15.6,7.4,58.0,,330.0,14.4,31.5,1010.3,0.098,0.244
2021-09-01 15:00:00+03:00,16.5,7.2,54.0,,300.0,14.4,31.5,1010.1,0.09498,0.211
2021-09-01 16:00:00+03:00,15.8,6.2,53.0,,290.0,18.0,31.5,1010.1,0.09506,0.164
2021-09-01 17:00:00+03:00,14.4,4.1,50.0,,300.0,14.4,29.6,1010.2,0.09761,1.1
2021-09-01 18:00:00+03:00,14.2,4.2,51.0,,320.0,10.8,29.6,1010.2,0.11612,1.099
2021-09-01 19:00:00+03:00,14.2,5.8,57.0,,310.0,10.8,27.8,1010.1,0.131,0.648
2021-09-01 20:00:00+03:00,12.1,5.9,66.0,,300.0,10.8,24.1,1010.3,0.1459099999999999,0.474
2021-09-01 21:00:00+03:00,11.0,5.5,69.0,,300.0,7.2,22.2,1010.7,0.14493,0.425
2021-09-01 22:00:00+03:00,10.7,5.7,71.0,,290.0,7.2,18.5,1011.0,0.12576,0.761
2021-09-01 23:00:00+03:00,10.0,5.6,74.0,,290.0,7.2,16.7,1011.1,0.11439,0.813
2021-09-02 00:00:00+03:00,9.6,5.6,76.0,,330.0,10.8,16.7,1011.4,0.0943199999999999,0.254
2021-09-02 01:00:00+03:00,9.2,5.7,79.0,,320.0,7.2,16.7,1011.8,0.0969899999999999,0.811
2021-09-02 02:00:00+03:00,9.1,6.2,82.0,,300.0,7.2,16.7,1012.2,0.09477,0.685
2021-09-02 03:00:00+03:00,8.4,6.0,85.0,,310.0,7.2,16.7,1012.5,0.0938799999999999,0.603
2021-09-02 04:00:00+03:00,8.0,6.1,88.0,,310.0,7.2,16.7,1012.8,0.09225,0.638
2021-09-02 05:00:00+03:00,7.3,5.8,90.0,,310.0,7.2,16.7,1013.2,0.09183,0.624
2021-09-02 06:00:00+03:00,7.2,5.5,89.0,,300.0,7.2,16.7,1013.5,0.09862,1.394
2021-09-02 07:00:00+03:00,7.1,5.6,90.0,,300.0,7.2,16.7,1013.7,0.12894,1.392
2021-09-02 08:00:00+03:00,8.3,5.9,85.0,,320.0,7.2,18.5,1014.1,0.15,0.403
2021-09-02 09:00:00+03:00,9.7,6.2,79.0,,320.0,10.8,22.2,1014.3,0.1463799999999999,0.345
2021-09-02 10:00:00+03:00,11.1,6.4,73.0,,310.0,14.4,24.1,1014.6,0.1308,0.382
2021-09-02 11:00:00+03:00,12.9,5.6,61.0,,300.0,10.8,25.9,1014.5,0.11892,0.209
2021-09-02 12:00:00+03:00,13.3,3.7,52.0,,300.0,14.4,27.8,1014.7,0.113,0.262
2021-09-02 13:00:00+03:00,13.5,4.1,53.0,,300.0,10.8,27.8,1014.3,0.10784,0.206
2021-09-02 14:00:00+03:00,13.7,4.0,52.0,,300.0,10.8,29.6,1014.3,0.10099,0.22
2021-09-02 15:00:00+03:00,14.0,4.0,51.0,,280.0,14.4,29.6,1014.2,0.09797,0.2
2021-09-02 16:00:00+03:00,14.0,5.9,58.0,,270.0,14.4,29.6,1013.6,0.1050499999999999,0.192
2021-09-02 17:00:00+03:00,13.6,3.7,51.0,,290.0,14.4,31.5,1013.2,0.11244,1.155
2021-09-02 18:00:00+03:00,12.0,6.1,67.0,,290.0,14.4,31.5,1013.1,0.1226599999999999,0.65
2021-09-02 19:00:00+03:00,11.1,7.2,77.0,,290.0,14.4,29.6,1012.6,0.138,0.354
2021-09-02 20:00:00+03:00,11.5,6.0,69.0,,280.0,14.4,31.5,1012.2,0.1585099999999999,0.291
2021-09-02 21:00:00+03:00,11.1,6.8,75.0,,280.0,10.8,31.5,1011.5,0.13388,0.289
2021-09-02 22:00:00+03:00,11.1,6.8,75.0,,260.0,14.4,31.5,1010.9,0.0874699999999999,1.857
2021-09-02 23:00:00+03:00,11.1,8.1,82.0,,260.0,10.8,29.6,1009.8,0.08745,0.677
2021-09-03 00:00:00+03:00,10.8,9.7,93.0,,250.0,10.8,29.6,1008.5,0.09451,1.912
2021-09-03 01:00:00+03:00,11.4,10.5,94.0,,260.0,14.4,27.8,1007.8,0.0862,0.541
2021-09-03 02:00:00+03:00,12.2,10.4,89.0,,270.0,14.4,31.5,1006.5,0.08615,0.204
